Ticker,Date,Time,Open,High,Low,Close,Volume,OpenInterest 
BANKNIFTY-I,2016-08-01,09:15:59,19045.0000,19160.0000,19010.0000,19155.9004,46200,1729120
BANKNIFTY-I,2016-08-01,09:16:59,19150.1504,19180.0000,19146.0508,19146.0508,49680,1729120
BANKNIFTY-I,2016-08-01,09:17:59,19146.5508,19149.9492,19105.5996,19106.1504,42880,1729120
BANKNIFTY-I,2016-08-01,09:18:59,19106.0000,19129.9492,19102.1504,19120.0000,30280,1772680
BANKNIFTY-I,2016-08-01,09:19:59,19120.0000,19129.0000,19116.1992,19129.0000,37640,1772680
BANKNIFTY-I,2016-08-01,09:20:59,19124.5996,19145.0000,19124.5996,19135.7500,35880,1772680
BANKNIFTY-I,2016-08-01,09:21:59,19131.9492,19131.9492,19096.0996,19111.9492,30000,1801800
BANKNIFTY-I,2016-08-01,09:22:59,19113.1992,19127.9004,19110.0000,19122.9492,9760,1801800
BANKNIFTY-I,2016-08-01,09:23:59,19121.0996,19126.9492,19110.1992,19110.1992,13760,1801800
BANKNIFTY-I,2016-08-01,09:24:59,19110.1992,19125.0000,19110.1992,19125.0000,11480,1821160
BANKNIFTY-I,2016-08-01,09:25:59,19121.1992,19126.3496,19115.1504,19123.0508,6480,1821160
BANKNIFTY-I,2016-08-01,09:26:59,19123.0508,19127.9492,19122.0000,19126.5000,8720,1821160
BANKNIFTY-I,2016-08-01,09:27:59,19125.0000,19129.0000,19122.0000,19129.0000,8440,1828360
BANKNIFTY-I,2016-08-01,09:28:59,19124.4004,19136.0000,19123.0000,19129.4492,9880,1828360
BANKNIFTY-I,2016-08-01,09:29:59,19129.4492,19153.9492,19128.5996,19148.9004,28480,1828360
BANKNIFTY-I,2016-08-01,09:30:59,19149.4492,19159.9004,19149.4492,19150.0000,16760,1833240
BANKNIFTY-I,2016-08-01,09:31:59,19150.0000,19157.4004,19150.0000,19150.0508,11120,1833240
BANKNIFTY-I,2016-08-01,09:32:59,19150.0508,19155.0000,19145.0000,19145.0000,20120,1833240
BANKNIFTY-I,2016-08-01,09:33:59,19144.0000,19144.7500,19137.0000,19143.0508,9960,1840800
BANKNIFTY-I,2016-08-01,09:34:59,19143.0000,19143.0000,19130.3008,19132.5996,10520,1840800
BANKNIFTY-I,2016-08-01,09:35:59,19132.5996,19138.5996,19130.0508,19133.0000,3440,1840800
BANKNIFTY-I,2016-08-01,09:36:59,19133.0000,19133.0000,19124.0000,19130.5996,6200,1845480
BANKNIFTY-I,2016-08-01,09:37:59,19130.5996,19140.0000,19125.0508,19137.4492,4400,1845480
BANKNIFTY-I,2016-08-01,09:38:59,19137.4492,19140.0000,19132.0000,19133.9004,6400,1845480
BANKNIFTY-I,2016-08-01,09:39:59,19133.9004,19134.3496,19126.4492,19134.3496,1960,1848360
BANKNIFTY-I,2016-08-01,09:40:59,19134.3496,19135.9492,19130.0000,19135.0000,2960,1848360
BANKNIFTY-I,2016-08-01,09:41:59,19135.0000,19137.2500,19125.1992,19135.0000,3720,1848360
BANKNIFTY-I,2016-08-01,09:42:59,19135.0000,19138.9492,19130.5000,19131.0000,2520,1850920
BANKNIFTY-I,2016-08-01,09:43:59,19129.9492,19131.0000,19125.1992,19127.5996,3960,1850920
BANKNIFTY-I,2016-08-01,09:44:59,19129.9004,19129.9004,19123.5996,19128.0000,9160,1850920
BANKNIFTY-I,2016-08-01,09:45:59,19128.0000,19131.0000,19120.0000,19123.0000,11000,1857480
BANKNIFTY-I,2016-08-01,09:46:59,19122.0508,19131.1992,19122.0000,19122.5000,7880,1857480
BANKNIFTY-I,2016-08-01,09:47:59,19120.1504,19123.9004,19114.4492,19114.4492,8240,1857480
BANKNIFTY-I,2016-08-01,09:48:59,19112.5000,19114.5996,19105.0508,19112.5000,9680,1869560
BANKNIFTY-I,2016-08-01,09:49:59,19112.4004,19119.6504,19111.0508,19118.2500,4640,1869560
BANKNIFTY-I,2016-08-01,09:50:59,19118.2500,19128.0508,19117.0508,19128.0508,5720,1869560
BANKNIFTY-I,2016-08-01,09:51:59,19128.0508,19128.0508,19121.0000,19125.7500,6280,1869000
BANKNIFTY-I,2016-08-01,09:52:59,19125.7500,19130.0000,19123.0000,19126.0000,7640,1869000
BANKNIFTY-I,2016-08-01,09:53:59,19126.0000,19126.9492,19121.0000,19125.9492,3240,1869000
BANKNIFTY-I,2016-08-01,09:54:59,19125.9492,19126.9004,19119.8008,19119.8008,4080,1877280
BANKNIFTY-I,2016-08-01,09:55:59,19119.8008,19119.8008,19111.1992,19115.3008,3640,1877280
BANKNIFTY-I,2016-08-01,09:56:59,19115.3008,19116.1992,19106.0996,19112.0000,7960,1877280
BANKNIFTY-I,2016-08-01,09:57:59,19112.0000,19112.5996,19106.5000,19107.0000,5360,1877640
BANKNIFTY-I,2016-08-01,09:58:59,19107.0000,19114.0000,19105.0000,19108.3496,4240,1877640
BANKNIFTY-I,2016-08-01,09:59:59,19108.3496,19110.8496,19105.0000,19109.9004,3280,1877640
BANKNIFTY-I,2016-08-01,10:00:59,19109.5996,19109.5996,19102.0508,19102.5508,7960,1880040
BANKNIFTY-I,2016-08-01,10:01:59,19101.0000,19102.9492,19094.0000,19095.0508,11200,1880040
BANKNIFTY-I,2016-08-01,10:02:59,19095.0508,19098.8496,19095.0000,19096.0000,6240,1880040
BANKNIFTY-I,2016-08-01,10:03:59,19096.0000,19109.9004,19096.0000,19099.9492,5240,1879680
